base_index,base_tourney_name,base_slug,year,tourney_name,tourney_slug,tourney_url,results_url,archive_url
165,Seoul,seoul,1990.0,ATP Seoul 1990,seoul-1990,https://www.flashscore.com/tennis/atp-singles/seoul-1990/,https://www.flashscore.com/tennis/atp-singles/seoul-1990/results/,https://www.flashscore.com/tennis/atp-singles/seoul/archive/
169,Singapore,singapore,1990.0,ATP Singapore 1990,singapore-1990,https://www.flashscore.com/tennis/atp-singles/singapore-1990/,https://www.flashscore.com/tennis/atp-singles/singapore-1990/results/,https://www.flashscore.com/tennis/atp-singles/singapore/archive/
174,Stockholm,stockholm,1990.0,ATP Stockholm 1990,stockholm-1990,https://www.flashscore.com/tennis/atp-singles/stockholm-1990/,https://www.flashscore.com/tennis/atp-singles/stockholm-1990/results/,https://www.flashscore.com/tennis/atp-singles/stockholm/archive/
176,Stuttgart 1,stuttgart-1,1990.0,ATP Stuttgart 1 1990,stuttgart-1-1990,https://www.flashscore.com/tennis/atp-singles/stuttgart-1-1990/,https://www.flashscore.com/tennis/atp-singles/stuttgart-1-1990/results/,https://www.flashscore.com/tennis/atp-singles/stuttgart-1/archive/
175,Stuttgart,stuttgart,1990.0,ATP Stuttgart 1990,stuttgart-1990,https://www.flashscore.com/tennis/atp-singles/stuttgart-1990/,https://www.flashscore.com/tennis/atp-singles/stuttgart-1990/results/,https://www.flashscore.com/tennis/atp-singles/stuttgart/archive/
177,Sydney,sydney,1990.0,ATP Sydney 1990,sydney-1990,https://www.flashscore.com/tennis/atp-singles/sydney-1990/,https://www.flashscore.com/tennis/atp-singles/sydney-1990/results/,https://www.flashscore.com/tennis/atp-singles/sydney/archive/
178,Sydney 2,sydney-2,1990.0,ATP Sydney 2 1990,sydney-2-1990,https://www.flashscore.com/tennis/atp-singles/sydney-2-1990/,https://www.flashscore.com/tennis/atp-singles/sydney-2-1990/results/,https://www.flashscore.com/tennis/atp-singles/sydney-2/archive/
181,Tel Aviv,tel-aviv,1990.0,ATP Tel Aviv 1990,tel-aviv-1990,https://www.flashscore.com/tennis/atp-singles/tel-aviv-1990/,https://www.flashscore.com/tennis/atp-singles/tel-aviv-1990/results/,https://www.flashscore.com/tennis/atp-singles/tel-aviv/archive/
182,Tokyo,tokyo,1990.0,ATP Tokyo 1990,tokyo-1990,https://www.flashscore.com/tennis/atp-singles/tokyo-1990/,https://www.flashscore.com/tennis/atp-singles/tokyo-1990/results/,https://www.flashscore.com/tennis/atp-singles/tokyo/archive/
183,Tokyo 2,tokyo-2,1990.0,ATP Tokyo 2 1990,tokyo-2-1990,https://www.flashscore.com/tennis/atp-singles/tokyo-2-1990/,https://www.flashscore.com/tennis/atp-singles/tokyo-2-1990/results/,https://www.flashscore.com/tennis/atp-singles/tokyo-2/archive/
184,Toronto,toronto,1990.0,ATP Toronto 1990,toronto-1990,https://www.flashscore.com/tennis/atp-singles/toronto-1990/,https://www.flashscore.com/tennis/atp-singles/toronto-1990/results/,https://www.flashscore.com/tennis/atp-singles/toronto/archive/
186,Toulouse,toulouse,1990.0,ATP Toulouse 1990,toulouse-1990,https://www.flashscore.com/tennis/atp-singles/toulouse-1990/,https://www.flashscore.com/tennis/atp-singles/toulouse-1990/results/,https://www.flashscore.com/tennis/atp-singles/toulouse/archive/
187,Umag,umag,1990.0,ATP Umag 1990,umag-1990,https://www.flashscore.com/tennis/atp-singles/umag-1990/,https://www.flashscore.com/tennis/atp-singles/umag-1990/results/,https://www.flashscore.com/tennis/atp-singles/umag/archive/
189,US Open,us-open,1990.0,ATP US Open 1990,us-open-1990,https://www.flashscore.com/tennis/atp-singles/us-open-1990/,https://www.flashscore.com/tennis/atp-singles/us-open-1990/results/,https://www.flashscore.com/tennis/atp-singles/us-open/archive/
192,Vienna,vienna,1990.0,ATP Vienna 1990,vienna-1990,https://www.flashscore.com/tennis/atp-singles/vienna-1990/,https://www.flashscore.com/tennis/atp-singles/vienna-1990/results/,https://www.flashscore.com/tennis/atp-singles/vienna/archive/
195,Washington,washington,1990.0,ATP Washington 1990,washington-1990,https://www.flashscore.com/tennis/atp-singles/washington-1990/,https://www.flashscore.com/tennis/atp-singles/washington-1990/results/,https://www.flashscore.com/tennis/atp-singles/washington/archive/
196,Wellington,wellington,1990.0,ATP Wellington 1990,wellington-1990,https://www.flashscore.com/tennis/atp-singles/wellington-1990/,https://www.flashscore.com/tennis/atp-singles/wellington-1990/results/,https://www.flashscore.com/tennis/atp-singles/wellington/archive/
198,Wimbledon,wimbledon,1990.0,ATP Wimbledon 1990,wimbledon-1990,https://www.flashscore.com/tennis/atp-singles/wimbledon-1990/,https://www.flashscore.com/tennis/atp-singles/wimbledon-1990/results/,https://www.flashscore.com/tennis/atp-singles/wimbledon/archive/
1,Adelaide,adelaide,1991.0,ATP Adelaide 1991,adelaide-1991,https://www.flashscore.com/tennis/atp-singles/adelaide-1991/,https://www.flashscore.com/tennis/atp-singles/adelaide-1991/results/,https://www.flashscore.com/tennis/atp-singles/adelaide/archive/
4,Amersfoort,amersfoort,1991.0,ATP Hilversum 1991,amersfoort-1991,https://www.flashscore.com/tennis/atp-singles/amersfoort-1991/,https://www.flashscore.com/tennis/atp-singles/amersfoort-1991/results/,https://www.flashscore.com/tennis/atp-singles/amersfoort/archive/
12,Athens 2,athens-2,1991.0,ATP Athens 2 1991,athens-2-1991,https://www.flashscore.com/tennis/atp-singles/athens-2-1991/,https://www.flashscore.com/tennis/atp-singles/athens-2-1991/results/,https://www.flashscore.com/tennis/atp-singles/athens-2/archive/
